rowno,Make,Model,Year,Engine_Fuel_Type,Engine_HP,Engine_Cylinders,Transmission_Type,Driven_Wheels,Number_of_Doors,Market_Category,Vehicle_Size,Vehicle_Style,highway_MPG,city_mpg,Popularity,MSRP
0,Infiniti,QX56,2011,premium unleaded (recommended),400.0,8.0,AUTOMATIC,four wheel drive,4,Luxury,Large,4dr SUV,20,14,190,61800
1,Chevrolet,Cavalier,2005,regular unleaded,140.0,4.0,MANUAL,front wheel drive,2,,Compact,Coupe,33,23,1385,17510
2,Toyota,Tundra,2016,regular unleaded,381.0,8.0,AUTOMATIC,rear wheel drive,4,,Large,Extended Cab Pickup,18,13,2031,38670
3,Volkswagen,Jetta,2015,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,4,,Midsize,Sedan,37,25,873,23650
4,Infiniti,Q50,2017,premium unleaded (required),400.0,6.0,AUTOMATIC,all wheel drive,4,"Factory Tuner,Luxury,High-Performance",Midsize,Sedan,26,19,190,50700
5,GMC,Sierra 1500 Hybrid,2013,regular unleaded,332.0,8.0,AUTOMATIC,rear wheel drive,4,Hybrid,Large,Crew Cab Pickup,23,20,549,48335
6,Lincoln,Mark LT,2006,regular unleaded,300.0,8.0,AUTOMATIC,four wheel drive,4,Luxury,Large,Crew Cab Pickup,16,12,61,42235
7,Honda,Ridgeline,2013,regular unleaded,250.0,6.0,AUTOMATIC,four wheel drive,4,,Large,Crew Cab Pickup,21,15,2202,32155
8,Oldsmobile,Toronado,1992,regular unleaded,170.0,6.0,AUTOMATIC,front wheel drive,2,,Large,Coupe,24,16,26,2000
9,Saab,9000,1997,regular unleaded,170.0,4.0,MANUAL,front wheel drive,4,,Midsize,4dr Hatchback,26,18,376,2000
10,Mitsubishi,Montero Sport,2003,regular unleaded,197.0,6.0,AUTOMATIC,rear wheel drive,4,,Midsize,4dr SUV,20,15,436,27607
11,Toyota,Tacoma,2017,regular unleaded,278.0,6.0,AUTOMATIC,four wheel drive,4,,Compact,Crew Cab Pickup,23,18,2031,35315
12,Chrysler,Cirrus,1999,regular unleaded,168.0,6.0,AUTOMATIC,front wheel drive,4,,Midsize,Sedan,25,17,1013,2202
13,Infiniti,EX35,2010,premium unleaded (recommended),297.0,6.0,AUTOMATIC,rear wheel drive,4,,Midsize,4dr SUV,24,17,190,36000
14,Honda,Civic,2015,regular unleaded,143.0,4.0,AUTOMATIC,front wheel drive,2,,Compact,Coupe,39,30,2202,19090
15,GMC,Yukon,2017,flex-fuel (unleaded/E85),355.0,8.0,AUTOMATIC,four wheel drive,4,"Flex Fuel,Performance",Large,4dr SUV,22,16,549,60315
16,Volkswagen,Vanagon,1990,regular unleaded,90.0,4.0,MANUAL,four wheel drive,3,,Large,Passenger Minivan,15,14,873,2000
17,Chevrolet,Silverado 1500,2017,flex-fuel (unleaded/E85),285.0,6.0,AUTOMATIC,four wheel drive,2,Flex Fuel,Large,Regular Cab Pickup,22,17,1385,37370
18,Mazda,B-Series,2001,regular unleaded,150.0,6.0,MANUAL,rear wheel drive,2,,Compact,Regular Cab Pickup,21,15,586,15125
19,Toyota,Tundra,2016,flex-fuel (unleaded/E85),381.0,8.0,AUTOMATIC,rear wheel drive,4,Flex Fuel,Large,Extended Cab Pickup,18,13,2031,30840
20,Lincoln,Continental,2001,regular unleaded,275.0,8.0,AUTOMATIC,front wheel drive,4,,Large,Sedan,23,15,61,39660
21,Toyota,RAV4,2016,regular unleaded,176.0,4.0,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,29,22,2031,32910
22,Volvo,850,1996,regular unleaded,168.0,5.0,MANUAL,front wheel drive,4,,Midsize,Sedan,26,18,870,2000
23,GMC,Canyon,2012,regular unleaded,242.0,5.0,AUTOMATIC,four wheel drive,4,,Compact,Extended Cab Pickup,23,17,549,29145
24,Kia,Rio,2015,regular unleaded,138.0,4.0,AUTOMATIC,front wheel drive,4,,Compact,Sedan,37,27,1720,18090
25,Dodge,RAM 150,1993,regular unleaded,230.0,8.0,MANUAL,rear wheel drive,2,,Large,Extended Cab Pickup,16,12,1851,2000
26,Suzuki,Grand Vitara,2011,regular unleaded,166.0,4.0,MANUAL,rear wheel drive,4,Crossover,Compact,4dr SUV,26,19,481,19299
27,Suzuki,SX4,2011,regular unleaded,150.0,4.0,MANUAL,front wheel drive,4,,Compact,Sedan,32,23,481,16479
28,Kia,Forte,2015,regular unleaded,173.0,4.0,AUTOMATIC,front wheel drive,2,,Compact,Coupe,34,25,1720,19590
29,Audi,allroad quattro,2005,regular unleaded,250.0,6.0,MANUAL,all wheel drive,4,,Midsize,Wagon,21,14,3105,40250
30,Buick,Encore,2017,regular unleaded,138.0,4.0,AUTOMATIC,front wheel drive,4,,Compact,4dr SUV,33,25,155,29065
31,Cadillac,Escalade EXT,2012,flex-fuel (premium unleaded recommended/E85),403.0,8.0,AUTOMATIC,all wheel drive,4,,Large,Crew Cab Pickup,18,13,1624,63060
32,Volkswagen,New Beetle,2008,regular unleaded,150.0,5.0,AUTOMATIC,front wheel drive,2,Hatchback,Compact,2dr Hatchback,29,20,873,20990
33,Chevrolet,Sonic,2017,regular unleaded,138.0,4.0,AUTOMATIC,front wheel drive,4,,Compact,Sedan,36,27,1385,20415
34,Nissan,350Z,2007,regular unleaded,306.0,6.0,AUTOMATIC,rear wheel drive,2,High-Performance,Compact,Coupe,24,17,2009,33200
35,Scion,tC,2015,regular unleaded,179.0,4.0,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,31,23,105,23190
36,Dodge,Dart,2016,regular unleaded,160.0,4.0,MANUAL,front wheel drive,4,,Midsize,Sedan,36,25,1851,16995
37,GMC,Envoy XL,2006,regular unleaded,300.0,8.0,AUTOMATIC,rear wheel drive,4,,Large,4dr SUV,19,14,549,35350
38,Saab,900,1997,regular unleaded,150.0,4.0,MANUAL,front wheel drive,4,,Compact,4dr Hatchback,26,18,376,2000
39,Pontiac,Firebird,2002,regular unleaded,200.0,6.0,MANUAL,rear wheel drive,2,"Hatchback,Performance",Midsize,2dr Hatchback,29,17,210,20050
40,Ford,Flex,2016,premium unleaded (recommended),365.0,6.0,AUTOMATIC,all wheel drive,4,Crossover,Large,Wagon,21,15,5657,42600
41,Nissan,Juke,2017,premium unleaded (recommended),188.0,4.0,AUTOMATIC,all wheel drive,4,"Crossover,Hatchback",Compact,4dr Hatchback,30,26,2009,26940
42,Honda,Civic CRX,1991,regular unleaded,92.0,4.0,MANUAL,front wheel drive,2,,Compact,2dr Hatchback,33,27,2202,2000
43,Audi,A4,2017,premium unleaded (recommended),252.0,4.0,AUTOMATED_MANUAL,all wheel drive,4,,Midsize,Sedan,31,24,3105,42350
44,Infiniti,G Sedan,2011,premium unleaded (recommended),328.0,6.0,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,25,18,190,44750
45,Mazda,Mazdaspeed 3,2013,premium unleaded (required),263.0,4.0,MANUAL,front wheel drive,4,"Hatchback,Factory Tuner,Performance",Compact,4dr Hatchback,25,18,586,24200
